age,gender,split,final
28,M,01:21:02,02:40:05
27,M,01:19:37,02:40:07
40,M,01:19:01,02:40:09
33,M,01:19:48,02:40:09
40,M,01:17:47,02:40:11
23,W,01:20:25,02:40:12
38,M,01:19:53,02:40:15
35,M,01:18:50,02:40:26
30,M,01:18:52,02:40:31
33,M,01:18:35,02:40:32
26,M,01:16:02,02:40:41
24,M,01:18:35,02:40:47
53,M,01:15:11,02:40:49
37,M,01:17:57,02:40:51
34,M,01:17:42,02:40:53
31,M,01:17:57,02:40:56
42,M,01:20:09,02:41:00
41,M,01:19:48,02:41:16
35,W,01:18:19,02:41:16
44,M,01:19:12,02:41:17
33,M,01:14:57,02:41:17
36,M,01:18:39,02:41:25
44,M,01:19:34,02:41:26
34,M,01:18:47,02:41:32
39,M,01:14:44,02:41:33
30,M,01:18:28,02:41:36
40,M,01:18:15,02:41:59
32,M,01:17:29,02:42:01
18,W,01:18:03,02:42:06
40,M,01:17:48,02:42:06
25,M,01:19:00,02:42:08
31,M,01:15:20,02:42:10
44,M,01:19:47,02:42:10
34,M,01:20:32,02:42:14
42,M,01:18:48,02:42:14
27,M,01:17:49,02:42:15
36,M,01:20:06,02:42:19
27,W,01:22:19,02:42:23
27,M,01:17:49,02:42:27
27,M,01:22:18,02:42:27
40,M,01:20:40,02:42:33
35,M,01:20:04,02:42:34
35,M,01:18:06,02:42:35
32,M,01:25:19,02:42:35
25,M,01:20:04,02:42:36
38,M,01:16:24,02:42:37
24,M,01:16:21,02:42:38
29,M,01:20:31,02:42:39
30,M,01:18:09,02:42:41
27,M,01:19:50,02:42:42
25,M,01:20:50,02:42:42
40,M,01:18:42,02:42:44
36,M,01:21:25,02:42:46
33,M,01:21:50,02:42:48
38,M,01:19:13,02:42:50
38,M,01:17:13,02:42:51
41,M,01:19:56,02:42:54
29,M,01:20:18,02:43:00
57,M,01:19:05,02:43:06
44,M,01:20:23,02:43:17
27,M,01:15:19,02:43:18
52,M,01:20:44,02:43:25
44,M,01:20:41,02:43:30
40,M,01:20:31,02:43:30
36,M,01:20:03,02:43:32
32,M,01:20:34,02:43:34
33,M,01:18:50,02:43:34
27,W,01:21:03,02:43:36
52,M,01:19:26,02:43:37
30,M,01:18:37,02:43:38
33,W,01:18:51,02:43:40
41,M,01:19:07,02:43:40
29,M,01:19:48,02:43:41
35,M,01:19:17,02:43:41
27,M,01:18:22,02:43:43
29,W,01:20:48,02:43:43
45,M,01:18:03,02:43:48
32,M,01:20:25,02:43:49
49,M,01:20:02,02:43:55
34,M,01:19:42,02:43:57
31,M,01:17:36,02:44:03
39,M,01:18:57,02:44:06
28,M,01:18:41,02:44:10
24,M,01:19:01,02:44:10
50,M,01:19:53,02:44:13
25,M,01:20:28,02:44:16
30,M,01:17:20,02:44:16
33,M,01:18:15,02:44:21
29,M,01:21:31,02:44:22
48,M,01:19:56,02:44:23
24,M,01:15:31,02:44:29
28,M,01:19:05,02:44:34
34,M,01:18:30,02:44:36
24,M,01:20:09,02:44:44
42,M,01:20:31,02:44:47
24,M,01:18:49,02:44:48
33,M,01:21:02,02:44:51
24,M,01:20:44,02:44:56
44,M,01:22:46,02:45:00
32,M,01:18:16,02:45:02
30,W,01:20:55,02:45:02
37,M,01:18:08,02:45:04
32,M,01:18:44,02:45:08
31,M,01:23:44,02:45:13
45,M,01:21:13,02:45:14
27,M,01:18:08,02:45:19
27,M,01:22:22,02:45:23
27,M,01:18:26,02:45:24
25,M,01:18:01,02:45:25
49,M,01:20:34,02:45:25
37,M,01:19:36,02:45:27
39,M,01:22:49,02:45:28
31,M,01:19:50,02:45:35
32,M,01:20:15,02:45:36
40,M,01:19:07,02:45:41
31,M,01:18:47,02:45:41
35,M,01:20:56,02:45:42
36,M,01:22:05,02:45:45
39,M,01:22:37,02:45:46
34,M,01:20:08,02:45:50
41,M,01:20:12,02:45:54
22,M,01:15:58,02:45:54
39,M,01:20:40,02:45:56
43,M,01:18:11,02:45:56
31,M,01:22:00,02:45:57
32,M,01:15:20,02:45:58
38,M,01:19:30,02:45:59
28,M,01:20:14,02:46:00
31,M,01:21:43,02:46:00
29,M,01:15:47,02:46:00
39,M,01:19:16,02:46:12
36,M,01:17:41,02:46:13
31,M,01:20:34,02:46:20
33,M,01:21:13,02:46:20
36,M,01:22:47,02:46:26
41,M,01:21:43,02:46:34
43,M,01:20:14,02:46:36
35,M,01:20:38,02:46:38
39,W,01:21:00,02:46:46
32,M,01:17:37,02:46:47
23,M,01:13:40,02:46:47
30,W,01:21:29,02:46:48
31,M,01:23:43,02:46:48
23,W,01:20:48,02:46:50
49,M,01:22:17,02:46:51
36,M,01:21:55,02:46:51
41,M,01:18:34,02:46:52
42,M,01:21:43,02:47:00
38,M,01:22:23,02:47:00
38,M,01:24:03,02:47:06
32,M,01:17:41,02:47:14
27,M,01:21:40,02:47:16
46,M,01:20:30,02:47:22
41,M,01:14:49,02:47:22
39,M,01:22:40,02:47:25
40,M,01:19:21,02:47:25
30,M,01:21:36,02:47:28
25,M,01:20:23,02:47:28
28,M,01:23:24,02:47:31
27,M,01:22:10,02:47:33
27,M,01:14:52,02:47:34
37,M,01:22:00,02:47:36
45,M,01:22:52,02:47:37
41,M,01:22:03,02:47:37
37,M,01:18:08,02:47:37
29,M,01:21:30,02:47:39
35,M,01:22:21,02:47:40
40,M,01:20:31,02:47:42
37,M,01:18:52,02:47:44
39,W,01:20:53,02:47:45
44,M,01:23:37,02:47:48
37,M,01:19:19,02:47:49
26,M,01:24:09,02:47:50
44,M,01:25:37,02:47:51
33,M,01:20:43,02:47:51
31,M,01:23:08,02:47:52
26,M,01:24:51,02:47:59
37,M,01:21:28,02:48:02
47,M,01:23:27,02:48:03
29,M,01:21:20,02:48:06
45,M,01:23:08,02:48:07
40,M,01:21:50,02:48:08
26,M,01:21:57,02:48:09
29,M,01:19:03,02:48:10
47,M,01:23:24,02:48:11
32,M,01:22:17,02:48:18
40,M,01:22:19,02:48:18
40,M,01:21:58,02:48:18
39,M,01:19:58,02:48:20
28,M,01:23:22,02:48:21
34,M,01:17:36,02:48:24
38,M,01:21:00,02:48:26
33,M,01:20:37,02:48:26
56,M,01:21:13,02:48:30
44,M,01:22:10,02:48:31
31,M,01:14:35,02:48:31
34,M,01:25:35,02:48:34
43,M,01:24:12,02:48:37
24,M,01:21:09,02:48:42
36,M,01:22:26,02:48:44
26,M,01:17:09,02:48:45
45,M,01:24:57,02:48:47
45,M,01:23:34,02:48:48
25,M,01:25:44,02:48:56
28,M,01:18:38,02:48:58
35,M,01:24:00,02:48:58
35,M,01:22:50,02:49:00
38,M,01:15:49,02:49:00
24,M,01:22:35,02:49:02
37,M,01:22:03,02:49:02
40,M,01:22:38,02:49:02
36,M,01:20:26,02:49:03
40,M,01:22:57,02:49:07
34,M,01:23:34,02:49:09
30,M,01:23:59,02:49:10
33,M,01:23:29,02:49:10
41,M,01:19:02,02:49:12
44,M,01:21:01,02:49:13
57,M,01:21:57,02:49:16
36,M,01:21:47,02:49:20
27,M,01:22:31,02:49:23
30,M,01:20:14,02:49:27
28,W,01:22:12,02:49:29
48,M,01:22:56,02:49:29
37,M,01:17:03,02:49:31
45,M,01:22:27,02:49:31
21,M,01:23:40,02:49:34
32,M,01:22:22,02:49:34
49,M,01:22:00,02:49:36
27,M,01:24:32,02:49:36
22,M,01:20:35,02:49:37
28,M,01:22:16,02:49:40
25,W,01:18:00,02:49:41
40,M,01:23:23,02:49:46
43,M,01:21:41,02:49:48
52,M,01:23:05,02:49:49
23,M,01:15:55,02:49:50
41,M,01:19:34,02:49:51
41,M,01:24:05,02:49:51
51,M,01:23:47,02:49:58
37,M,01:24:22,02:49:58
34,M,01:22:07,02:49:58
47,M,01:24:50,02:50:04
49,M,01:22:00,02:50:06
41,M,01:23:36,02:50:08
37,M,01:19:50,02:50:09
38,M,01:20:59,02:50:10
30,M,01:22:46,02:50:11
43,M,01:21:30,02:50:14
46,M,01:24:00,02:50:14
42,M,01:21:24,02:50:16
37,M,01:18:27,02:50:17
51,M,01:24:10,02:50:19
37,M,01:21:06,02:50:20
24,M,01:23:52,02:50:21
49,M,01:22:50,02:50:22
38,W,01:24:26,02:50:23
36,M,01:25:35,02:50:24
32,M,01:23:21,02:50:26
43,M,01:22:58,02:50:28
38,M,01:23:06,02:50:29
27,M,01:18:15,02:50:29
42,M,01:22:21,02:50:29
48,M,01:22:25,02:50:29
23,M,01:17:11,02:50:30
38,M,01:25:20,02:50:32
29,M,01:23:43,02:50:32
32,M,01:18:56,02:50:36
29,M,01:15:17,02:50:40
40,M,01:21:48,02:50:47
49,M,01:24:49,02:50:48
26,M,01:23:01,02:50:50
24,M,01:20:40,02:50:53
34,W,01:24:13,02:50:53
34,M,01:19:47,02:50:55
40,M,01:25:17,02:50:57
30,M,01:25:17,02:50:57
20,M,01:21:48,02:50:57
27,M,01:21:05,02:50:58
38,M,01:22:30,02:51:00
39,M,01:21:50,02:51:01
28,M,01:20:33,02:51:01
35,M,01:20:24,02:51:01
39,M,01:23:38,02:51:01
41,M,01:23:35,02:51:03
41,M,01:24:03,02:51:03
28,M,01:24:34,02:51:05
31,M,01:23:54,02:51:08
34,M,01:17:57,02:51:10
30,M,01:22:13,02:51:11
39,M,01:24:31,02:51:15
26,M,01:26:00,02:51:16
41,M,01:22:12,02:51:17
40,M,01:24:45,02:51:17
27,M,01:20:35,02:51:19
37,M,01:22:17,02:51:19
38,M,01:22:39,02:51:20
39,M,01:20:57,02:51:21
41,W,01:24:18,02:51:25
52,M,01:23:09,02:51:26
42,M,01:25:35,02:51:27
36,M,01:23:38,02:51:28
31,M,01:25:06,02:51:29
42,M,01:23:25,02:51:29
28,M,01:23:52,02:51:31
41,M,01:22:21,02:51:32
42,M,01:21:49,02:51:33
36,W,01:22:16,02:51:34
48,M,01:23:37,02:51:35
30,M,01:22:43,02:51:38
35,M,01:23:52,02:51:38
34,M,01:22:44,02:51:40
21,M,01:23:34,02:51:41
44,M,01:19:33,02:51:41
50,M,01:22:24,02:51:42
40,M,01:23:57,02:51:42
40,M,01:24:54,02:51:44
31,M,01:22:30,02:51:47
28,M,01:23:01,02:51:49
38,M,01:24:29,02:51:51
28,M,01:23:46,02:51:52
35,M,01:21:22,02:51:54
21,M,01:20:04,02:51:55
28,M,01:22:53,02:51:57
31,W,01:25:52,02:51:58
39,M,01:23:17,02:51:58
42,M,01:19:36,02:51:59
34,M,01:23:33,02:51:59
46,M,01:24:50,02:51:59
22,W,01:25:11,02:52:01
35,M,01:25:40,02:52:06
44,M,01:24:36,02:52:07
52,M,01:23:02,02:52:08
47,M,01:21:52,02:52:08
50,M,01:24:50,02:52:10
43,M,01:19:34,02:52:14
49,M,01:24:24,02:52:14
40,M,01:21:57,02:52:14
29,M,01:21:54,02:52:15
33,W,01:26:52,02:52:18
33,M,01:26:31,02:52:18
34,M,01:24:20,02:52:21
53,M,01:23:43,02:52:24
27,M,01:26:18,02:52:25
38,M,01:23:07,02:52:25
33,M,01:27:03,02:52:25
40,M,01:24:56,02:52:27
25,M,01:25:50,02:52:27
25,M,01:26:01,02:52:27
30,M,01:26:25,02:52:28
35,M,01:24:14,02:52:28
29,M,01:22:30,02:52:31
37,M,01:16:49,02:52:31
34,M,01:21:54,02:52:31
27,W,01:25:05,02:52:33
33,M,01:23:51,02:52:34
38,M,01:23:17,02:52:36
39,M,01:25:06,02:52:38
28,M,01:23:41,02:52:39
43,M,01:24:17,02:52:43
51,M,01:22:12,02:52:44
32,W,01:24:21,02:52:44
36,M,01:24:59,02:52:45
44,M,01:25:57,02:52:46
51,M,01:24:27,02:52:48
31,M,01:24:15,02:52:49
39,W,01:25:10,02:52:50
39,M,01:23:18,02:52:51
30,M,01:25:00,02:52:53
44,M,01:23:08,02:52:56
49,M,01:24:32,02:52:57
37,M,01:22:46,02:53:00
30,M,01:23:13,02:53:03
33,M,01:22:00,02:53:04
39,M,01:24:21,02:53:05
40,M,01:23:26,02:53:06
32,M,01:22:55,02:53:06
40,M,01:24:40,02:53:06
31,M,01:22:51,02:53:10
25,M,01:21:25,02:53:12
36,M,01:15:26,02:53:14
41,M,01:20:48,02:53:17
29,M,01:22:23,02:53:17
38,M,01:24:56,02:53:21
42,M,01:24:34,02:53:25
26,M,01:23:46,02:53:25
37,M,01:22:45,02:53:25
42,M,01:21:36,02:53:26
38,M,01:21:43,02:53:27
47,M,01:22:27,02:53:28
45,M,01:23:36,02:53:28
35,M,01:24:24,02:53:29
30,M,01:26:26,02:53:31
23,M,01:24:01,02:53:31
31,M,01:27:01,02:53:32
41,M,01:26:28,02:53:35
31,M,01:22:26,02:53:40
44,M,01:21:30,02:53:43
32,M,01:24:29,02:53:44
46,M,01:24:02,02:53:45
38,M,01:25:07,02:53:46
44,M,01:23:49,02:53:47
51,M,01:25:36,02:53:47
32,M,01:26:08,02:53:48
33,M,01:26:17,02:53:48
29,W,01:28:06,02:53:50
50,M,01:22:43,02:53:52
45,M,01:23:54,02:53:52
39,M,01:23:30,02:53:54
30,M,01:23:24,02:53:55
30,M,01:27:32,02:53:55
30,W,01:24:16,02:53:59
40,M,01:19:40,02:53:59
28,M,01:24:38,02:53:59
27,M,01:18:43,02:54:01
33,M,01:20:17,02:54:02
27,W,01:24:40,02:54:04
42,M,01:26:39,02:54:04
45,M,01:25:12,02:54:05
39,M,01:24:16,02:54:06
44,M,01:23:10,02:54:07
36,M,01:25:05,02:54:07
33,M,01:22:43,02:54:08
44,M,01:26:03,02:54:09
42,M,01:26:13,02:54:11
37,M,01:24:58,02:54:11
25,M,01:22:53,02:54:14
25,W,01:25:23,02:54:18
45,M,01:22:35,02:54:21
31,M,01:25:47,02:54:22
44,M,01:24:01,02:54:22
34,M,01:27:01,02:54:24
39,W,01:26:15,02:54:24
46,M,01:23:12,02:54:31
36,M,01:26:29,02:54:31
39,M,01:25:11,02:54:31
32,M,01:25:26,02:54:32
45,M,01:25:01,02:54:35
49,M,01:26:34,02:54:39
39,M,01:26:25,02:54:40
37,M,01:22:26,02:54:42
28,M,01:24:11,02:54:42
24,M,01:23:15,02:54:42
39,M,01:25:35,02:54:45
43,M,01:25:14,02:54:46
37,M,01:26:05,02:54:47
33,M,01:26:52,02:54:49
35,M,01:23:24,02:54:50
32,W,01:27:49,02:54:51
46,M,01:25:28,02:54:52
44,M,01:24:52,02:54:55
39,W,01:24:03,02:54:55
24,M,01:21:11,02:54:57
27,M,01:23:16,02:54:57
28,W,01:26:08,02:54:58
41,W,01:24:55,02:55:02
41,M,01:22:21,02:55:03
35,M,01:25:44,02:55:04
40,M,01:24:15,02:55:04
34,M,01:25:07,02:55:04
39,M,01:21:54,02:55:06
40,M,01:24:15,02:55:06
25,M,01:27:42,02:55:09
51,M,01:25:02,02:55:12
43,M,01:24:33,02:55:15
42,M,01:22:47,02:55:16
45,M,01:23:32,02:55:18
29,M,01:18:41,02:55:18
52,M,01:24:57,02:55:21
25,W,01:25:41,02:55:23
37,M,01:23:29,02:55:23
25,M,01:24:21,02:55:23
32,M,01:26:30,02:55:25
40,M,01:23:39,02:55:25
37,M,01:25:30,02:55:25
29,M,01:29:45,02:55:25
42,M,01:23:58,02:55:28
39,M,01:22:23,02:55:30
45,M,01:26:16,02:55:32
40,M,01:27:03,02:55:32
48,M,01:26:08,02:55:33
42,M,01:23:23,02:55:35
32,M,01:22:28,02:55:37
30,M,01:24:06,02:55:38
50,M,01:25:00,02:55:41
32,W,01:25:40,02:55:42
33,M,01:26:35,02:55:43
49,M,01:25:19,02:55:43
38,W,01:26:36,02:55:43
51,M,01:23:42,02:55:45
43,M,01:22:33,02:55:46
30,M,01:24:13,02:55:48
37,W,01:26:59,02:55:49
44,M,01:22:22,02:55:50
33,M,01:24:20,02:55:51
52,M,01:24:33,02:55:54
44,M,01:25:26,02:55:54
40,M,01:26:49,02:55:55
41,W,01:24:25,02:55:56
25,M,01:22:00,02:55:57
31,M,01:23:19,02:55:57
42,M,01:27:07,02:55:58
30,W,01:27:02,02:56:00
45,M,01:24:43,02:56:01
40,M,01:23:55,02:56:06
30,M,01:23:44,02:56:06
40,M,01:27:16,02:56:07
42,M,01:24:42,02:56:07
43,M,01:24:49,02:56:09
32,M,01:24:25,02:56:10
44,M,01:26:52,02:56:13
34,M,01:25:48,02:56:13
32,M,01:24:17,02:56:15
40,M,01:25:02,02:56:18
28,M,01:20:54,02:56:19
27,M,01:26:13,02:56:21
43,M,01:23:07,02:56:22
28,M,01:30:42,02:56:24
30,M,01:20:27,02:56:26
42,M,01:23:05,02:56:27
27,M,01:24:16,02:56:28
42,M,01:24:24,02:56:28
38,M,01:27:36,02:56:28
39,M,01:27:17,02:56:29
37,M,01:24:15,02:56:30
42,M,01:29:53,02:56:33
40,M,01:26:08,02:56:35
41,M,01:26:39,02:56:35
36,M,01:23:39,02:56:35
29,W,01:25:02,02:56:36
53,M,01:25:07,02:56:36
42,M,01:28:19,02:56:36
43,M,01:22:27,02:56:37
42,M,01:26:13,02:56:38
22,W,01:26:02,02:56:39
41,M,01:28:27,02:56:39
46,M,01:24:03,02:56:41
26,M,01:29:32,02:56:42
41,M,01:22:29,02:56:44
26,M,01:26:16,02:56:45
42,M,01:26:17,02:56:47
36,M,01:26:42,02:56:48
34,M,01:23:18,02:56:48
49,M,01:27:00,02:56:49
35,M,01:27:37,02:56:49
36,M,01:24:45,02:56:49
41,M,01:22:38,02:56:50
38,M,01:26:08,02:56:50
50,M,01:23:59,02:56:51
41,M,01:22:43,02:56:51
38,M,01:25:42,02:56:52
28,W,01:24:16,02:56:53
46,M,01:26:17,02:56:54
29,M,01:26:23,02:56:54
38,M,01:27:14,02:56:56
44,M,01:24:02,02:56:56
47,M,01:24:37,02:56:57
33,M,01:27:02,02:56:58
35,M,01:23:37,02:56:58
42,M,01:25:30,02:56:59
26,M,01:28:12,02:57:01
44,M,01:25:43,02:57:01
37,M,01:27:27,02:57:03
38,M,01:26:28,02:57:03
41,W,01:28:01,02:57:04
46,M,01:24:35,02:57:06
36,M,01:27:39,02:57:09
25,M,01:22:50,02:57:10
42,M,01:28:24,02:57:13
40,M,01:27:19,02:57:14
37,M,01:24:54,02:57:17
28,M,01:24:10,02:57:19
44,M,01:24:29,02:57:20
42,M,01:27:57,02:57:20
56,M,01:26:13,02:57:20
33,M,01:23:29,02:57:21
39,M,01:25:36,02:57:23
50,M,01:26:15,02:57:23
38,M,01:30:08,02:57:24
42,M,01:26:57,02:57:25
29,M,01:24:09,02:57:26
32,M,01:25:52,02:57:26
36,M,01:26:56,02:57:27
32,M,01:26:59,02:57:27
34,M,01:24:34,02:57:27
43,M,01:26:26,02:57:28
39,M,01:25:15,02:57:29
42,W,01:27:25,02:57:29
32,M,01:27:02,02:57:30
49,M,01:25:19,02:57:32
26,M,01:20:44,02:57:35
40,M,01:27:14,02:57:35
39,M,01:23:32,02:57:37
58,M,01:25:01,02:57:37
32,M,01:28:40,02:57:37
47,M,01:25:19,02:57:38
45,M,01:25:52,02:57:39
36,M,01:28:53,02:57:39
42,M,01:28:46,02:57:40
47,M,01:25:21,02:57:40
46,M,01:27:21,02:57:41
34,W,01:27:46,02:57:41
49,M,01:27:57,02:57:41
45,M,01:21:22,02:57:42
45,M,01:24:50,02:57:43
52,M,01:26:20,02:57:43
41,M,01:23:15,02:57:44
32,M,01:27:12,02:57:45
31,M,01:25:24,02:57:46
39,M,01:25:57,02:57:47
40,M,01:25:35,02:57:47
35,M,01:26:29,02:57:47
34,M,01:27:50,02:57:48
32,M,01:22:53,02:57:49
40,M,01:26:18,02:57:50
37,M,01:27:43,02:57:51
27,M,01:21:44,02:57:53
46,M,01:21:41,02:57:53
27,W,01:25:48,02:57:53
42,M,01:24:59,02:57:55
34,M,01:26:35,02:57:55
32,M,01:27:02,02:57:55
46,M,01:28:58,02:57:57
25,M,01:27:02,02:57:59
22,M,01:23:41,02:57:59
34,M,01:28:15,02:57:59
46,M,01:26:59,02:58:00
31,M,01:29:21,02:58:00
36,M,01:27:15,02:58:02
32,W,01:26:14,02:58:02
44,M,01:26:30,02:58:02
41,M,01:26:57,02:58:03
45,M,01:25:57,02:58:03
33,M,01:26:18,02:58:07
38,M,01:24:29,02:58:09
31,M,01:28:20,02:58:09
42,M,01:27:31,02:58:09
45,M,01:30:16,02:58:09
40,M,01:24:35,02:58:10
41,M,01:27:51,02:58:10
35,M,01:26:33,02:58:12
31,M,01:28:43,02:58:13
35,M,01:27:14,02:58:14
35,M,01:26:43,02:58:15
34,M,01:26:23,02:58:16
49,M,01:28:45,02:58:17
32,M,01:26:35,02:58:20
33,M,01:28:04,02:58:21
27,M,01:28:46,02:58:22
48,M,01:27:20,02:58:24
42,M,01:29:12,02:58:24
30,M,01:29:25,02:58:26
31,M,01:29:22,02:58:28
27,M,01:27:50,02:58:28
47,M,01:23:34,02:58:30
46,M,01:26:26,02:58:32
31,M,01:29:46,02:58:33
44,M,01:27:14,02:58:33
41,M,01:27:56,02:58:35
34,M,01:28:58,02:58:36
40,M,01:25:05,02:58:39
24,M,01:25:38,02:58:40
39,M,01:23:05,02:58:40
40,M,01:28:20,02:58:41
43,M,01:28:36,02:58:41
41,M,01:24:45,02:58:42
27,M,01:26:31,02:58:42
30,M,01:21:15,02:58:43
46,M,01:26:29,02:58:44
36,M,01:27:49,02:58:45
41,M,01:27:40,02:58:45
36,M,01:28:07,02:58:45
47,M,01:25:57,02:58:46
31,M,01:25:56,02:58:47
31,M,01:28:39,02:58:48
37,M,01:26:43,02:58:49
39,M,01:23:59,02:58:49
34,M,01:23:05,02:58:50
48,M,01:27:35,02:58:50
42,M,01:26:40,02:58:50
36,M,01:23:03,02:58:50
40,M,01:27:04,02:58:50
